scenario,expected_fail_lines,probability
S1,5,0.076667
S2,4,0.068333
S3,6,0.068333
S4,7,0.067667
S5,8,0.061333
S6,3,0.059667
S7,2,0.058333
S8,9,0.052
S9,10,0.049333
S10,1,0.047667
S11,11,0.046333
S12,12,0.045333
S13,13,0.035667
S14,14,0.035333
S15,0,0.029667
S16,15,0.028
S17,16,0.025
S18,17,0.019
S19,21,0.017667
S20,18,0.016667
S21,19,0.016333
S22,20,0.012667
S23,23,0.01
S24,22,0.009
S25,24,0.006333
S26,27,0.006333
S27,25,0.006
S28,26,0.005333
S29,29,0.004333
S30,31,0.003333
S31,28,0.002667
S32,30,0.002333
S33,32,0.002333
S34,34,0.001667
S35,33,0.001
S36,35,0.000667
S37,37,0.000667
S38,36,0.000333
S39,41,0.000333
S40,43,0.000333
