epoch,train_mse,val_mse,warmup_scale,train_gate_reg,train_attn_entropy,train_rank_loss
1.0,0.24567058682441711,0.19924399256706238,0.01,0.22056365013122559,0.9999618530273438,0.0
2.0,0.22845005989074707,0.17854157090187073,0.02,0.026544274762272835,0.9998853802680969,0.0
3.0,0.21525759994983673,0.14805607497692108,0.03,0.006093075964599848,0.999901533126831,0.0
4.0,0.20195789635181427,0.08920297026634216,0.04,0.00636791018769145,0.9999208450317383,0.0
5.0,0.18908503651618958,0.053059667348861694,0.05,0.027353132143616676,0.9999595284461975,0.0
6.0,0.17504800856113434,0.059168655425310135,0.06,0.19696466624736786,0.9999017715454102,0.0
7.0,0.16393502056598663,0.05582188814878464,0.07,0.31132298707962036,0.999761700630188,0.0
8.0,0.15034660696983337,0.04806164279580116,0.08,0.09241016209125519,0.9998737573623657,0.0
9.0,0.13845252990722656,0.047135960310697556,0.09,0.014165031723678112,0.9996079802513123,0.0
10.0,0.12181613594293594,0.05806087702512741,0.1,0.012244612909853458,0.9980450868606567,0.0
11.0,0.11035702377557755,0.03996317461133003,0.11,0.12308906763792038,0.9999649524688721,0.0
12.0,0.089479461312294,0.03866345062851906,0.12,0.00750815449282527,0.998205840587616,0.0
13.0,0.0783390924334526,0.03476778790354729,0.13,0.0021226152312010527,0.9999395608901978,0.0
14.0,0.06272757798433304,0.03936612233519554,0.14,0.0032515183556824923,0.9990108609199524,0.0
15.0,0.040209587663412094,0.04685340076684952,0.15,0.027609949931502342,0.9992597103118896,0.0
16.0,0.044182196259498596,0.04159402847290039,0.16,0.14902758598327637,0.999853789806366,0.0
17.0,0.020421519875526428,0.024286216124892235,0.17,0.056479815393686295,0.9990537762641907,0.0
18.0,0.018483974039554596,0.018492771312594414,0.18,0.014354988932609558,0.9992495775222778,0.0
19.0,0.015230674296617508,0.01814168691635132,0.19,0.01078126858919859,0.9997748732566833,0.0
20.0,0.006555629428476095,0.03223804384469986,0.2,0.019232286140322685,0.9997409582138062,0.0
21.0,0.0008841957896947861,0.043399181216955185,0.21,0.04436374083161354,0.9992803335189819,0.0
22.0,0.00259985588490963,0.045715462416410446,0.22,0.07913236320018768,0.9995946884155273,0.0
23.0,0.0011357641778886318,0.04087518900632858,0.23,0.08459533751010895,0.9999836087226868,0.0
24.0,-0.0020655167754739523,0.022469164803624153,0.24,0.06482024490833282,0.9995551109313965,0.0
25.0,-0.0033362244721502066,0.007494565565139055,0.25,0.043607600033283234,0.9995222687721252,0.0
26.0,-0.0025240574032068253,0.0043679289519786835,0.26,0.0305478572845459,0.9998414516448975,0.0
27.0,-0.002203206066042185,0.0041900211945176125,0.27,0.02552432008087635,0.9999642372131348,0.0
28.0,-0.002602962078526616,0.005203413777053356,0.28,0.025485767051577568,0.9997327923774719,0.0
29.0,-0.003259553574025631,0.007708410266786814,0.29,0.02879432961344719,0.9996254444122314,0.0
30.0,-0.003799619385972619,0.011894771829247475,0.3,0.03500095009803772,0.9998553991317749,0.0
31.0,-0.0037358375266194344,0.017027517780661583,0.31,0.04168321192264557,0.9999697208404541,0.0
32.0,-0.0036575535777956247,0.021088074892759323,0.32,0.047324080020189285,0.9998740553855896,0.0
33.0,-0.002048428636044264,0.01728147268295288,0.33,0.05101773887872696,0.9997658133506775,0.0
34.0,-0.0031199809163808823,0.010779023170471191,0.34,0.048483312129974365,0.9998779296875,0.0
35.0,-0.003404531627893448,0.006703838240355253,0.35,0.04241151735186577,0.9999869465827942,0.0
36.0,-0.003515048185363412,0.0051613859832286835,0.36,0.03513264283537865,0.9999399185180664,0.0
37.0,-0.003523817751556635,0.004428270738571882,0.37,0.028725534677505493,0.9998722672462463,0.0
38.0,-0.0037955287843942642,0.003992299549281597,0.38,0.024177130311727524,0.9998937249183655,0.0
39.0,-0.0033706664107739925,0.003910752013325691,0.39,0.02130809985101223,0.9999838471412659,0.0
40.0,-0.0031249714083969593,0.004024509806185961,0.4,0.02028166502714157,0.9999845623970032,0.0
41.0,-0.0033843806013464928,0.004311326891183853,0.41,0.020215947180986404,0.9999284744262695,0.0
42.0,-0.0037623601965606213,0.004711738787591457,0.42,0.021041950210928917,0.9999246001243591,0.0
43.0,-0.0035464223474264145,0.005112641025334597,0.43,0.02257288619875908,0.9999687671661377,0.0
44.0,-0.0038378858007490635,0.005342329386621714,0.44,0.024305013939738274,0.9999974966049194,0.0
45.0,-0.003103621071204543,0.005261249374598265,0.45,0.025089921429753304,0.9999654293060303,0.0
46.0,-0.0035326750949025154,0.005020309239625931,0.46,0.024008173495531082,0.999943196773529,0.0
47.0,-0.0036556038539856672,0.004627303220331669,0.47,0.02198031172156334,0.999973475933075,0.0
48.0,-0.003476305166259408,0.0042180330492556095,0.48,0.019309252500534058,0.9999979734420776,0.0
49.0,-0.003590612905099988,0.0038749477826058865,0.49,0.016944710165262222,0.9999813437461853,0.0
50.0,-0.0036083348095417023,0.0036229509860277176,0.5,0.015171820297837257,0.9999638795852661,0.0
51.0,-0.003757685888558626,0.003483247710391879,0.51,0.013918555341660976,0.9999767541885376,0.0
52.0,-0.0037132790312170982,0.003382363822311163,0.52,0.01312158815562725,0.999995231628418,0.0
53.0,-0.003754250705242157,0.0032621799036860466,0.53,0.01249765232205391,0.9999918341636658,0.0
54.0,-0.0037762513384222984,0.0031896063592284918,0.54,0.011841884814202785,0.9999788999557495,0.0
55.0,-0.003666845615953207,0.0032888345886021852,0.55,0.011353090405464172,0.9999770522117615,0.0
56.0,-0.0036932281218469143,0.0034583648666739464,0.56,0.011343242600560188,0.9999924302101135,0.0
57.0,-0.0037895217537879944,0.003642623545601964,0.57,0.011514123529195786,0.9999983906745911,0.0
58.0,-0.0036659128963947296,0.0036105168983340263,0.58,0.011746829375624657,0.9999891519546509,0.0
59.0,-0.0035009034909307957,0.0033457751851528883,0.59,0.011398321017622948,0.9999811053276062,0.0
60.0,-0.0037172480951994658,0.002930884715169668,0.6,0.010484735481441021,0.9999887943267822,0.0
61.0,-0.003962321672588587,0.0024774002376943827,0.61,0.009317907504737377,0.9999986886978149,0.0
62.0,-0.004087197128683329,0.0021252697333693504,0.62,0.008165717124938965,0.9999958276748657,0.0
63.0,-0.003510646987706423,0.001990784425288439,0.63,0.007319778203964233,0.9999898672103882,0.0
64.0,-0.00394912576302886,0.0020384297240525484,0.64,0.0069054183550179005,0.9999918341636658,0.0
65.0,-0.00407695397734642,0.002212973078712821,0.65,0.00685031246393919,0.9999982118606567,0.0
66.0,-0.004216611851006746,0.002389164874330163,0.66,0.007016823627054691,0.999998927116394,0.0
67.0,-0.0037668622098863125,0.0024824782740324736,0.67,0.007182625122368336,0.9999954104423523,0.0
68.0,-0.0038376194424927235,0.0024135527200996876,0.68,0.00720388675108552,0.9999938011169434,0.0
69.0,-0.004002387635409832,0.00232512503862381,0.69,0.0069286455400288105,0.999997615814209,0.0
70.0,-0.003851644229143858,0.0022275871597230434,0.7,0.006632394623011351,0.9999996423721313,0.0
71.0,-0.0038191303610801697,0.0020644324831664562,0.71,0.006330512464046478,0.9999969601631165,0.0
72.0,-0.003623659722507,0.001775211188942194,0.72,0.005927731283009052,0.9999963641166687,0.0
73.0,-0.004138794727623463,0.0015825348673388362,0.73,0.005308919120579958,0.9999985694885254,0.0
74.0,-0.0040739793330430984,0.0013170696329325438,0.74,0.00487005989998579,0.9999997615814209,0.0
75.0,-0.004063223954290152,0.0011122417636215687,0.75,0.004294258076697588,0.9999978542327881,0.0
76.0,-0.003999924287199974,0.0010791149688884616,0.76,0.003805156797170639,0.9999964237213135,0.0
