block,case_id,seed,label_method,model_group,contingency_tensor,metapath_v1_enabled,metapath_attention_mode,metapath_topk,hidden_dim,epochs,lr,weight_decay,train_ratio,risk_weight_alpha,risk_weight_beta,risk_weight_threshold,metapath_gate_reg_lambda,metapath_attention_entropy_reg_lambda,metapath_warmup_epochs
A,A_label-c3po_ref_group-A2_metapath_adaptive_global_seed-43,43,c3po_ref,A2_metapath_adaptive_global,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_c3po_ref.npy,True,adaptive_global,4,80,700,0.0042,5e-05,0.7,0.0,0.0,0.1,0.0,0.0,0
A,A_label-c3po_ref_group-A3_metapath_adaptive_context_seed-43,43,c3po_ref,A3_metapath_adaptive_context,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_c3po_ref.npy,True,adaptive_context,4,80,700,0.0042,5e-05,0.7,0.0,0.0,0.1,0.0,0.0,0
A,A_label-wang_qmc_group-A0_baseline_seed-43,43,wang_qmc,A0_baseline,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_wang_qmc.npy,False,fixed,4,80,700,0.0042,5e-05,0.7,0.0,0.0,0.1,0.0,0.0,0
A,A_label-wang_qmc_group-A1_metapath_fixed_seed-43,43,wang_qmc,A1_metapath_fixed,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_wang_qmc.npy,True,fixed,4,80,700,0.0042,5e-05,0.7,0.0,0.0,0.1,0.0,0.0,0
A,A_label-wang_qmc_group-A2_metapath_adaptive_global_seed-43,43,wang_qmc,A2_metapath_adaptive_global,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_wang_qmc.npy,True,adaptive_global,4,80,700,0.0042,5e-05,0.7,0.0,0.0,0.1,0.0,0.0,0
A,A_label-wang_qmc_group-A3_metapath_adaptive_context_seed-43,43,wang_qmc,A3_metapath_adaptive_context,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_wang_qmc.npy,True,adaptive_context,4,80,700,0.0042,5e-05,0.7,0.0,0.0,0.1,0.0,0.0,0
A,A_label-c3po_ref_group-A0_baseline_seed-44,44,c3po_ref,A0_baseline,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_c3po_ref.npy,False,fixed,4,80,700,0.0042,5e-05,0.7,0.0,0.0,0.1,0.0,0.0,0
A,A_label-c3po_ref_group-A1_metapath_fixed_seed-44,44,c3po_ref,A1_metapath_fixed,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_c3po_ref.npy,True,fixed,4,80,700,0.0042,5e-05,0.7,0.0,0.0,0.1,0.0,0.0,0
A,A_label-c3po_ref_group-A2_metapath_adaptive_global_seed-44,44,c3po_ref,A2_metapath_adaptive_global,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_c3po_ref.npy,True,adaptive_global,4,80,700,0.0042,5e-05,0.7,0.0,0.0,0.1,0.0,0.0,0
A,A_label-c3po_ref_group-A3_metapath_adaptive_context_seed-44,44,c3po_ref,A3_metapath_adaptive_context,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_c3po_ref.npy,True,adaptive_context,4,80,700,0.0042,5e-05,0.7,0.0,0.0,0.1,0.0,0.0,0
A,A_label-wang_qmc_group-A0_baseline_seed-44,44,wang_qmc,A0_baseline,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_wang_qmc.npy,False,fixed,4,80,700,0.0042,5e-05,0.7,0.0,0.0,0.1,0.0,0.0,0
A,A_label-wang_qmc_group-A1_metapath_fixed_seed-44,44,wang_qmc,A1_metapath_fixed,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_wang_qmc.npy,True,fixed,4,80,700,0.0042,5e-05,0.7,0.0,0.0,0.1,0.0,0.0,0
A,A_label-wang_qmc_group-A2_metapath_adaptive_global_seed-44,44,wang_qmc,A2_metapath_adaptive_global,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_wang_qmc.npy,True,adaptive_global,4,80,700,0.0042,5e-05,0.7,0.0,0.0,0.1,0.0,0.0,0
A,A_label-wang_qmc_group-A3_metapath_adaptive_context_seed-44,44,wang_qmc,A3_metapath_adaptive_context,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_wang_qmc.npy,True,adaptive_context,4,80,700,0.0042,5e-05,0.7,0.0,0.0,0.1,0.0,0.0,0
A,A_label-c3po_ref_group-A0_baseline_seed-45,45,c3po_ref,A0_baseline,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_c3po_ref.npy,False,fixed,4,80,700,0.0042,5e-05,0.7,0.0,0.0,0.1,0.0,0.0,0
A,A_label-c3po_ref_group-A1_metapath_fixed_seed-45,45,c3po_ref,A1_metapath_fixed,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_c3po_ref.npy,True,fixed,4,80,700,0.0042,5e-05,0.7,0.0,0.0,0.1,0.0,0.0,0
A,A_label-c3po_ref_group-A2_metapath_adaptive_global_seed-45,45,c3po_ref,A2_metapath_adaptive_global,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_c3po_ref.npy,True,adaptive_global,4,80,700,0.0042,5e-05,0.7,0.0,0.0,0.1,0.0,0.0,0
A,A_label-c3po_ref_group-A3_metapath_adaptive_context_seed-45,45,c3po_ref,A3_metapath_adaptive_context,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_c3po_ref.npy,True,adaptive_context,4,80,700,0.0042,5e-05,0.7,0.0,0.0,0.1,0.0,0.0,0
A,A_label-wang_qmc_group-A0_baseline_seed-45,45,wang_qmc,A0_baseline,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_wang_qmc.npy,False,fixed,4,80,700,0.0042,5e-05,0.7,0.0,0.0,0.1,0.0,0.0,0
A,A_label-wang_qmc_group-A1_metapath_fixed_seed-45,45,wang_qmc,A1_metapath_fixed,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_wang_qmc.npy,True,fixed,4,80,700,0.0042,5e-05,0.7,0.0,0.0,0.1,0.0,0.0,0
A,A_label-wang_qmc_group-A2_metapath_adaptive_global_seed-45,45,wang_qmc,A2_metapath_adaptive_global,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_wang_qmc.npy,True,adaptive_global,4,80,700,0.0042,5e-05,0.7,0.0,0.0,0.1,0.0,0.0,0
A,A_label-wang_qmc_group-A3_metapath_adaptive_context_seed-45,45,wang_qmc,A3_metapath_adaptive_context,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_wang_qmc.npy,True,adaptive_context,4,80,700,0.0042,5e-05,0.7,0.0,0.0,0.1,0.0,0.0,0
A,A_label-c3po_ref_group-A0_baseline_seed-46,46,c3po_ref,A0_baseline,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_c3po_ref.npy,False,fixed,4,80,700,0.0042,5e-05,0.7,0.0,0.0,0.1,0.0,0.0,0
A,A_label-c3po_ref_group-A1_metapath_fixed_seed-46,46,c3po_ref,A1_metapath_fixed,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_c3po_ref.npy,True,fixed,4,80,700,0.0042,5e-05,0.7,0.0,0.0,0.1,0.0,0.0,0
A,A_label-c3po_ref_group-A2_metapath_adaptive_global_seed-46,46,c3po_ref,A2_metapath_adaptive_global,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_c3po_ref.npy,True,adaptive_global,4,80,700,0.0042,5e-05,0.7,0.0,0.0,0.1,0.0,0.0,0
A,A_label-c3po_ref_group-A3_metapath_adaptive_context_seed-46,46,c3po_ref,A3_metapath_adaptive_context,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_c3po_ref.npy,True,adaptive_context,4,80,700,0.0042,5e-05,0.7,0.0,0.0,0.1,0.0,0.0,0
A,A_label-wang_qmc_group-A0_baseline_seed-46,46,wang_qmc,A0_baseline,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_wang_qmc.npy,False,fixed,4,80,700,0.0042,5e-05,0.7,0.0,0.0,0.1,0.0,0.0,0
A,A_label-wang_qmc_group-A1_metapath_fixed_seed-46,46,wang_qmc,A1_metapath_fixed,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_wang_qmc.npy,True,fixed,4,80,700,0.0042,5e-05,0.7,0.0,0.0,0.1,0.0,0.0,0
A,A_label-wang_qmc_group-A2_metapath_adaptive_global_seed-46,46,wang_qmc,A2_metapath_adaptive_global,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_wang_qmc.npy,True,adaptive_global,4,80,700,0.0042,5e-05,0.7,0.0,0.0,0.1,0.0,0.0,0
A,A_label-wang_qmc_group-A3_metapath_adaptive_context_seed-46,46,wang_qmc,A3_metapath_adaptive_context,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_wang_qmc.npy,True,adaptive_context,4,80,700,0.0042,5e-05,0.7,0.0,0.0,0.1,0.0,0.0,0
