timestamp,hour_index,hourly_line_risk,hourly_uncertainty,global_expected_nk_fail_lines,global_max_critical_outage_prob,global_high_line_ratio,selected_strategy,reason
2024-09-02 00:00:00,0,0.746762,0.150059,0.0,0.0,0.333333,Robust_UC,extreme weather / high outage risk
2024-09-02 01:00:00,1,0.868179,0.13413,0.0,0.0,0.333333,Robust_UC,extreme weather / high outage risk
2024-09-02 02:00:00,2,0.908031,0.102511,0.0,0.0,0.333333,Robust_UC,extreme weather / high outage risk
2024-09-02 03:00:00,3,0.983927,0.140058,0.0,0.0,0.333333,Robust_UC,extreme weather / high outage risk
2024-09-02 04:00:00,4,0.996671,0.174406,0.0,0.0,0.333333,Robust_UC,extreme weather / high outage risk
2024-09-02 05:00:00,5,0.995401,0.098337,0.0,0.0,0.333333,Robust_UC,extreme weather / high outage risk
2024-09-02 06:00:00,6,0.999281,0.123883,0.0,0.0,0.333333,Robust_UC,extreme weather / high outage risk
2024-09-02 07:00:00,7,0.99924,0.091319,0.0,0.0,0.333333,Robust_UC,extreme weather / high outage risk
2024-09-02 08:00:00,8,0.999592,0.112642,0.0,0.0,0.333333,Robust_UC,extreme weather / high outage risk
2024-09-02 09:00:00,9,0.99962,0.096337,0.0,0.0,0.333333,Robust_UC,extreme weather / high outage risk
2024-09-02 10:00:00,10,0.998787,0.082308,0.0,0.0,0.333333,Robust_UC,extreme weather / high outage risk
2024-09-02 11:00:00,11,0.998645,0.053347,0.0,0.0,0.333333,Robust_UC,extreme weather / high outage risk
2024-09-02 12:00:00,12,0.999201,0.098294,0.0,0.0,0.333333,Robust_UC,extreme weather / high outage risk
2024-09-02 13:00:00,13,0.997971,0.049584,0.0,0.0,0.333333,Robust_UC,extreme weather / high outage risk
2024-09-02 14:00:00,14,0.987424,0.045036,0.0,0.0,0.333333,Robust_UC,extreme weather / high outage risk
2024-09-02 15:00:00,15,0.928238,0.106967,0.0,0.0,0.333333,Robust_UC,extreme weather / high outage risk
2024-09-02 16:00:00,16,0.789768,0.101556,0.0,0.0,0.333333,Robust_UC,extreme weather / high outage risk
2024-09-02 17:00:00,17,0.677654,0.04483,0.0,0.0,0.333333,Robust_UC,extreme weather / high outage risk
2024-09-02 18:00:00,18,0.495651,0.04492,0.0,0.0,0.333333,Robust_UC,extreme weather / high outage risk
2024-09-02 19:00:00,19,0.41382,0.02596,0.0,0.0,0.333333,SCUC,normal operating condition
2024-09-02 20:00:00,20,0.333285,0.0867,0.0,0.0,0.333333,SCUC,normal operating condition
2024-09-02 21:00:00,21,0.239302,0.100391,0.0,0.0,0.333333,SCUC,normal operating condition
2024-09-02 22:00:00,22,0.143745,0.135398,0.0,0.0,0.333333,SCUC,normal operating condition
2024-09-02 23:00:00,23,0.069319,0.101613,0.0,0.0,0.333333,SCUC,normal operating condition
