epoch,train_mse,val_mse,warmup_scale,train_gate_reg,train_attn_entropy,train_rank_loss
1.0,0.23515866696834564,0.20389831066131592,0.01,0.26508310437202454,0.9999123215675354,0.0
2.0,0.2148633599281311,0.17351624369621277,0.02,0.02460838109254837,0.9997096657752991,0.0
3.0,0.19795724749565125,0.14503465592861176,0.03,0.003657645545899868,0.999539852142334,0.0
4.0,0.18208430707454681,0.11199422180652618,0.04,0.0012201112695038319,0.9986528754234314,0.0
5.0,0.16731129586696625,0.06523288786411285,0.05,0.001624563941732049,0.9981943368911743,0.0
6.0,0.1517804116010666,0.052808988839387894,0.06,0.008402004837989807,0.9995182752609253,0.0
7.0,0.13718201220035553,0.05035123601555824,0.07,0.07866569608449936,0.9990692734718323,0.0
8.0,0.12294764071702957,0.042505115270614624,0.08,0.0485849492251873,0.9998481273651123,0.0
9.0,0.10793238133192062,0.039946962147951126,0.09,0.007692196872085333,0.9996437430381775,0.0
10.0,0.09232967346906662,0.031990163028240204,0.1,0.0031169503927230835,0.9996336102485657,0.0
11.0,0.07290452718734741,0.04775991290807724,0.11,0.01496633980423212,0.9999417066574097,0.0
12.0,0.07423693686723709,0.023084774613380432,0.12,0.25472208857536316,0.9998206496238708,0.0
13.0,0.04073294252157211,0.029539192095398903,0.13,0.021890468895435333,0.9998102188110352,0.0
14.0,0.03560696169734001,0.03573467954993248,0.14,0.0009899804135784507,0.999977171421051,0.0
15.0,0.028323348611593246,0.034838367253541946,0.15,0.0001979487424250692,0.9999039173126221,0.0
16.0,0.022743623703718185,0.029889913275837898,0.16,0.00010320471483282745,0.9999284744262695,0.0
17.0,0.016917860135436058,0.022762853652238846,0.17,9.973655687645078e-05,0.9999111294746399,0.0
18.0,0.011436646804213524,0.015134096145629883,0.18,0.0001529572473373264,0.9999064207077026,0.0
19.0,0.006433339789509773,0.008518432267010212,0.19,0.00034908688394352794,0.9999266266822815,0.0
20.0,0.002193346619606018,0.004283484537154436,0.2,0.001110257231630385,0.9998911619186401,0.0
21.0,-0.000776512548327446,0.002586675575003028,0.21,0.0039859008975327015,0.9999286532402039,0.0
22.0,-0.0023576458916068077,0.0023335532750934362,0.22,0.012003980576992035,0.9999393224716187,0.0
23.0,-0.0030382368713617325,0.0026227885391563177,0.23,0.02563864178955555,0.9999592900276184,0.0
24.0,-0.002854324644431472,0.002970343455672264,0.24,0.03743714094161987,0.9999573230743408,0.0
25.0,-0.002785391639918089,0.0028400716837495565,0.25,0.04181031510233879,0.9999538660049438,0.0
26.0,-0.003204150591045618,0.0025570914149284363,0.26,0.039964236319065094,0.9999656081199646,0.0
27.0,-0.0033656442537903786,0.0024477532133460045,0.27,0.034625764936208725,0.999965250492096,0.0
28.0,-0.003736946266144514,0.0023560929112136364,0.28,0.02822205424308777,0.9999725818634033,0.0
29.0,-0.00340869277715683,0.0022804769687354565,0.29,0.02206987515091896,0.9999802112579346,0.0
30.0,-0.0036412025801837444,0.0022310796193778515,0.3,0.01666450686752796,0.9999836683273315,0.0
31.0,-0.00358013017103076,0.002190008293837309,0.31,0.012346952222287655,0.9999827146530151,0.0
32.0,-0.003764424007385969,0.0021560422610491514,0.32,0.009169453755021095,0.9999788999557495,0.0
33.0,-0.004025401081889868,0.002120346063748002,0.33,0.0068850647658109665,0.9999830722808838,0.0
34.0,-0.0038394806906580925,0.0020880335941910744,0.34,0.005257104057818651,0.9999849200248718,0.0
35.0,-0.003788057481870055,0.0020521702244877815,0.35,0.004092617891728878,0.9999798536300659,0.0
36.0,-0.003341902745887637,0.002011684700846672,0.36,0.0032340548932552338,0.9999852776527405,0.0
37.0,-0.003382599912583828,0.001967997057363391,0.37,0.0026077055372297764,0.9999923706054688,0.0
38.0,-0.003644889686256647,0.001921048853546381,0.38,0.002140398370102048,0.9999921321868896,0.0
39.0,-0.003779030404984951,0.0018860765267163515,0.39,0.0017876110505312681,0.9999915957450867,0.0
40.0,-0.003707076422870159,0.0018335494678467512,0.4,0.0015118380542844534,0.9999931454658508,0.0
41.0,-0.0038505224511027336,0.0017664422048255801,0.41,0.0012987522641196847,0.999988317489624,0.0
42.0,-0.0037660952657461166,0.001710577285848558,0.42,0.0011329218978062272,0.9999902248382568,0.0
43.0,-0.0033199551980942488,0.0016372689278796315,0.43,0.001000714022666216,0.9999933242797852,0.0
44.0,-0.003826661966741085,0.0015733559848740697,0.44,0.0008970772032625973,0.9999918341636658,0.0
45.0,-0.0035885784309357405,0.00150519167073071,0.45,0.0008124097366817296,0.9999942183494568,0.0
46.0,-0.003678047563880682,0.0014335738960653543,0.46,0.0007455808809027076,0.9999929070472717,0.0
47.0,-0.0034038338344544172,0.001370947458781302,0.47,0.0006916762213222682,0.9999905824661255,0.0
48.0,-0.003972862847149372,0.0012975470162928104,0.48,0.0006484426558017731,0.9999936819076538,0.0
49.0,-0.003353598527610302,0.001239138888195157,0.49,0.0006125124637037516,0.999993085861206,0.0
50.0,-0.003490122966468334,0.0011755042942240834,0.5,0.0005820234655402601,0.9999951124191284,0.0
51.0,-0.003714127466082573,0.0011282324558123946,0.51,0.0005577872507274151,0.9999949336051941,0.0
52.0,-0.0038381186313927174,0.0010917095933109522,0.52,0.0005385510739870369,0.9999936819076538,0.0
53.0,-0.0037939371541142464,0.0010705708991736174,0.53,0.0005239686579443514,0.9999956488609314,0.0
54.0,-0.004030571319162846,0.0010630441829562187,0.54,0.0005112172802910209,0.9999954700469971,0.0
55.0,-0.003803996602073312,0.0010694261873140931,0.55,0.0005001220270060003,0.9999967813491821,0.0
56.0,-0.003526574932038784,0.0010904495138674974,0.56,0.0004922113148495555,0.9999966025352478,0.0
57.0,-0.0035963417030870914,0.0011198121355846524,0.57,0.00048537066322751343,0.9999966025352478,0.0
58.0,-0.0037179547362029552,0.0011429268633946776,0.58,0.0004805199569091201,0.9999967813491821,0.0
59.0,-0.004024190828204155,0.0011720677139237523,0.59,0.00048235669964924455,0.999997079372406,0.0
60.0,-0.0038731242530047894,0.001204956672154367,0.6,0.000485551223391667,0.9999982118606567,0.0
61.0,-0.003973008133471012,0.001236999174579978,0.61,0.0004892768920399249,0.9999974966049194,0.0
62.0,-0.0037894845008850098,0.0012564900098368526,0.62,0.0004997855285182595,0.9999974370002747,0.0
63.0,-0.0036008786410093307,0.0012830807827413082,0.63,0.0005154673126526177,0.9999973177909851,0.0
64.0,-0.003525105072185397,0.001299072289839387,0.64,0.0005342802032828331,0.9999985694885254,0.0
65.0,-0.003880815813317895,0.001302609103731811,0.65,0.0005597714916802943,0.9999982118606567,0.0
66.0,-0.004121996462345123,0.0012921082088723779,0.66,0.0005980282439850271,0.9999983310699463,0.0
67.0,-0.003787566674873233,0.0012746145948767662,0.67,0.0006467128405347466,0.9999974370002747,0.0
68.0,-0.003849601373076439,0.001253045629709959,0.68,0.0007200426771305501,0.9999985694885254,0.0
69.0,-0.003993666265159845,0.0012195756426081061,0.69,0.0008285997901111841,0.9999982118606567,0.0
70.0,-0.0040219430811703205,0.0011807455448433757,0.7,0.0009891893714666367,0.9999982118606567,0.0
71.0,-0.003437513718381524,0.0011550926137715578,0.71,0.0012316475622355938,0.9999973177909851,0.0
72.0,-0.003764266613870859,0.0011302432976663113,0.72,0.001538304379209876,0.9999982118606567,0.0
73.0,-0.003881872398778796,0.0011177968699485064,0.73,0.001999525586143136,0.9999982118606567,0.0
74.0,-0.004038139246404171,0.0011118652764707804,0.74,0.002671926748007536,0.9999974370002747,0.0
75.0,-0.003937423694878817,0.0011109706247225404,0.75,0.0029732563998550177,0.999997615814209,0.0
76.0,-0.004114696756005287,0.0011018604272976518,0.76,0.003234888194128871,0.999998152256012,0.0
77.0,-0.004052174277603626,0.00109198153950274,0.77,0.002860107459127903,0.9999983906745911,0.0
78.0,-0.004060736857354641,0.001083833398297429,0.78,0.0025354737881571054,0.9999988675117493,0.0
79.0,-0.004009711556136608,0.0010812962427735329,0.79,0.002191096544265747,0.9999988675117493,0.0
80.0,-0.004038472194224596,0.0010821374598890543,0.8,0.0019527255790308118,0.9999987483024597,0.0
81.0,-0.0038148583844304085,0.00108852400444448,0.81,0.001752932439558208,0.9999985098838806,0.0
82.0,-0.003927369602024555,0.0011011076858267188,0.82,0.0015249071875587106,0.999998152256012,0.0
83.0,-0.004071518778800964,0.0011191716184839606,0.83,0.0013796958373859525,0.9999977946281433,0.0
84.0,-0.00400384608656168,0.0011382817756384611,0.84,0.0012864354066550732,0.9999976754188538,0.0
85.0,-0.004077468998730183,0.001163781969808042,0.85,0.0011921431869268417,0.999997615814209,0.0
86.0,-0.004141191951930523,0.0011972368229180574,0.86,0.0011123173171654344,0.9999967813491821,0.0
87.0,-0.003691075136885047,0.001216408098116517,0.87,0.0010526636615395546,0.9999972581863403,0.0
88.0,-0.003892225679010153,0.0012321514077484608,0.88,0.001059534726664424,0.9999969005584717,0.0
89.0,-0.004209139849990606,0.0012433638330549002,0.89,0.001108013209886849,0.9999964237213135,0.0
90.0,-0.003984276205301285,0.00123623909894377,0.9,0.0011721373302862048,0.9999969601631165,0.0
91.0,-0.0037471081595867872,0.00120723363943398,0.91,0.0012854078086093068,0.9999961853027344,0.0
92.0,-0.0040590642020106316,0.0011865549022331834,0.92,0.0014777056640014052,0.9999966025352478,0.0
93.0,-0.0039046332240104675,0.0011681228643283248,0.93,0.0016630945028737187,0.9999980330467224,0.0
94.0,-0.0037744371220469475,0.0011416826164349914,0.94,0.001852918998338282,0.9999961256980896,0.0
