node,load_type,outage_prob
load_bus_12,secondary,0.319
load_bus_1,primary,0.283667
load_bus_13,secondary,0.25
load_bus_42,secondary,0.211667
load_bus_43,secondary,0.180333
load_bus_27,secondary,0.169667
load_bus_14,secondary,0.148667
load_bus_31,secondary,0.147667
load_bus_28,secondary,0.144
load_bus_16,secondary,0.121
load_bus_44,secondary,0.109667
load_bus_57,secondary,0.089
load_bus_29,secondary,0.080667
load_bus_46,secondary,0.077
load_bus_58,secondary,0.063667
load_bus_59,secondary,0.043667
load_bus_10,secondary,0.0
load_bus_11,secondary,0.0
load_bus_18,secondary,0.0
load_bus_19,secondary,0.0
load_bus_20,secondary,0.0
load_bus_21,secondary,0.0
load_bus_22,secondary,0.0
load_bus_23,secondary,0.0
load_bus_24,secondary,0.0
load_bus_25,secondary,0.0
load_bus_26,secondary,0.0
load_bus_3,primary,0.0
load_bus_33,secondary,0.0
load_bus_34,secondary,0.0
load_bus_35,secondary,0.0
load_bus_36,secondary,0.0
load_bus_37,secondary,0.0
load_bus_38,secondary,0.0
load_bus_39,secondary,0.0
load_bus_4,primary,0.0
load_bus_40,secondary,0.0
load_bus_41,secondary,0.0
load_bus_48,secondary,0.0
load_bus_49,secondary,0.0
load_bus_5,primary,0.0
load_bus_50,secondary,0.0
load_bus_51,secondary,0.0
load_bus_52,secondary,0.0
load_bus_53,secondary,0.0
load_bus_54,secondary,0.0
load_bus_55,secondary,0.0
load_bus_56,secondary,0.0
load_bus_6,secondary,0.0
load_bus_7,secondary,0.0
load_bus_8,secondary,0.0
load_bus_9,secondary,0.0
