timestamp,hour_index,hourly_line_risk,hourly_uncertainty,global_expected_nk_fail_lines,global_max_critical_outage_prob,global_high_line_ratio,selected_strategy,reason
2024-09-02 00:00:00,0,0.0,0.104353,0.0,0.0,0.0,SCUC,normal operating condition
2024-09-02 01:00:00,1,0.0,0.118829,0.0,0.0,0.0,SCUC,normal operating condition
2024-09-02 02:00:00,2,0.0,0.133938,0.0,0.0,0.0,SCUC,normal operating condition
2024-09-02 03:00:00,3,0.0,0.137534,0.0,0.0,0.0,SCUC,normal operating condition
2024-09-02 04:00:00,4,0.0,0.255557,0.0,0.0,0.0,Stochastic_UC,high renewable uncertainty / elevated risk
2024-09-02 05:00:00,5,0.0,0.154311,0.0,0.0,0.0,SCUC,normal operating condition
2024-09-02 06:00:00,6,0.0,0.245941,0.0,0.0,0.0,Stochastic_UC,high renewable uncertainty / elevated risk
2024-09-02 07:00:00,7,0.0,0.217036,0.0,0.0,0.0,SCUC,normal operating condition
2024-09-02 08:00:00,8,0.0,0.129635,0.0,0.0,0.0,SCUC,normal operating condition
2024-09-02 09:00:00,9,0.0,0.097084,0.0,0.0,0.0,SCUC,normal operating condition
2024-09-02 10:00:00,10,0.0,0.073238,0.0,0.0,0.0,SCUC,normal operating condition
2024-09-02 11:00:00,11,0.0,0.073535,0.0,0.0,0.0,SCUC,normal operating condition
2024-09-02 12:00:00,12,0.0,0.035048,0.0,0.0,0.0,SCUC,normal operating condition
2024-09-02 13:00:00,13,0.0,0.084651,0.0,0.0,0.0,SCUC,normal operating condition
2024-09-02 14:00:00,14,0.0,0.099126,0.0,0.0,0.0,SCUC,normal operating condition
2024-09-02 15:00:00,15,0.0,0.074017,0.0,0.0,0.0,SCUC,normal operating condition
2024-09-02 16:00:00,16,0.0,0.038029,0.0,0.0,0.0,SCUC,normal operating condition
2024-09-02 17:00:00,17,0.0,0.073388,0.0,0.0,0.0,SCUC,normal operating condition
2024-09-02 18:00:00,18,0.0,0.039424,0.0,0.0,0.0,SCUC,normal operating condition
2024-09-02 19:00:00,19,0.0,0.094228,0.0,0.0,0.0,SCUC,normal operating condition
2024-09-02 20:00:00,20,0.0,0.115148,0.0,0.0,0.0,SCUC,normal operating condition
2024-09-02 21:00:00,21,0.0,0.105958,0.0,0.0,0.0,SCUC,normal operating condition
2024-09-02 22:00:00,22,0.0,0.161803,0.0,0.0,0.0,SCUC,normal operating condition
2024-09-02 23:00:00,23,0.0,0.223554,0.0,0.0,0.0,Stochastic_UC,high renewable uncertainty / elevated risk
